stride_interval,stride_variability,swing_time,stance_time,double_support_time,gait_speed,cadence,step_length,stride_regularity,gait_asymmetry,status
1.0758,0.1289,0.2808,0.2495,0.2381,4.4496,113.5158,2.354,0.8321,0.0132,1
0.8992,0.0718,0.2134,0.2355,0.2326,5.6546,133.8808,2.5322,0.8128,0.0008,1
1.1615,0.048,0.3181,0.2687,0.2651,3.8135,101.8974,2.2432,0.8701,-0.0001,1
1.1476,0.0552,0.2996,0.272,0.2639,3.9794,104.7951,2.273,0.8865,-0.0,1
0.9547,0.0826,0.2434,0.234,0.2283,5.1731,125.8152,2.4644,0.9017,0.0002,1
1.1068,0.2329,0.3556,0.1936,0.1864,4.2263,109.3358,2.3175,0.8206,0.0047,0
1.0791,0.1212,0.3796,0.1568,0.1509,4.3556,111.9715,2.3371,0.7172,0.0085,0
1.0436,0.0996,0.3709,0.1528,0.1457,4.5358,114.8694,2.3671,0.7756,0.0006,0
1.2553,0.0471,0.3115,0.3135,0.3083,3.472,96.2431,2.1832,0.9061,-0.0001,1
1.2763,0.1659,0.3014,0.3427,0.3323,3.3404,93.1952,2.1517,0.8208,0.011,1
1.073,0.1194,0.2804,0.2487,0.2367,4.4399,113.4742,2.3551,0.832,0.0128,1
0.9831,0.0753,0.3075,0.1846,0.1811,4.9276,121.9935,2.4302,0.8924,-0.0002,1
1.0176,0.1779,0.2725,0.2396,0.2278,4.6831,117.4053,2.3887,0.8117,0.004,1
1.1261,0.1596,0.3549,0.2165,0.2123,3.9746,105.0611,2.2719,0.8667,0.0096,1
1.0576,0.0929,0.3001,0.2338,0.2309,4.3935,112.2345,2.3452,0.9019,0.013,1
1.1605,0.1208,0.301,0.2811,0.2697,3.8867,103.3482,2.2595,0.8665,0.0045,1
0.9717,0.2064,0.3272,0.1699,0.166,4.8797,120.8293,2.4223,0.8418,0.0247,1
1.0036,0.0734,0.3087,0.1889,0.1847,4.8391,120.1959,2.4191,0.9137,0.0038,1
1.0362,0.0475,0.3425,0.1748,0.1741,4.5964,115.7574,2.377,0.8402,-0.0003,1
0.995,0.2053,0.3765,0.1323,0.1283,4.7268,118.461,2.4007,0.698,0.0126,1
0.9885,0.1121,0.2895,0.2044,0.2021,4.8943,121.0351,2.4272,0.872,0.0047,0
1.1758,0.0769,0.3569,0.2333,0.2299,3.7967,102.0763,2.244,0.8448,0.0002,0
1.2338,0.0485,0.3439,0.2772,0.2727,3.5231,96.4009,2.1904,0.8676,0.0051,0
0.9332,0.4803,0.3542,0.1552,0.1458,4.7111,117.9582,2.3952,0.6427,0.1016,1
1.1742,0.0869,0.3559,0.2317,0.2314,3.8124,102.2187,2.2443,0.8448,0.0002,0
